MaterialID,HeadlineKey,MeasurementID,Use
M050,tensileStrengthXY,V000932,value
M050,elongationXY,V000934,value
M050,hdt045,V000928,value
M051,density,V000943,value
M051,tensileModulusXY,V000951,value
M051,tensileStrengthXY,V000953,value
M051,elongationXY,V000955,value
M051,hdt045,V000949,value
M053,density,V000964,value
M053,tensileModulusXY,V000966,value
M053,elongationXY,V000967,value
M053,hdt045,V000971,value
M054,density,V001007,value
M054,tensileModulusXY,V001009,value
M054,elongationXY,V001010,value
M054,hdt045,V001014,value
M057,density,V001015,value
M057,tensileModulusXY,V001023,value
M057,tensileStrengthXY,V001025,value
M057,elongationXY,V001027,value
M057,hdt045,V001021,value
M059,density,V001052,value
M059,tensileModulusXY,V001055,value
M059,tensileStrengthXY,V001057,value
M059,elongationXY,V001059,value
M059,hdt045,V001054,value
M064,density,V001200,value
M064,hdt045,V001207,value
M065,density,V001236,value
M065,tensileModulusXY,V001238,value
M065,tensileStrengthXY,V001240,value
M065,elongationXY,V001242,value
M066,density,V001753,value
M067,density,V001264,value
M067,tensileModulusXY,V001272,value
M067,tensileStrengthXY,V001274,value
M067,elongationXY,V001276,value
M067,hdt045,V001270,value
M068,density,V001925,value
M068,tensileModulusXY,V001934,value
M068,tensileStrengthXY,V001936,value
M068,elongationXY,V001938,value
M068,hdt045,V001931,value
M069,density,V001285,value
M069,tensileModulusXY,V001292,value
M069,tensileStrengthXY,V001290,value
M069,elongationXY,V001294,value
M069,hdt045,V002224,value
M070,density,V001302,value
M070,tensileModulusXY,V001310,value
M070,tensileStrengthXY,V001312,value
M070,elongationXY,V001314,value
M070,hdt045,V001308,value
M071,density,V001322,value
M071,tensileModulusXY,V001329,value
M071,tensileStrengthXY,V001327,value
M071,elongationXY,V001331,value
M071,hdt045,V001326,value
M072,density,V001339,value
M072,tensileModulusXY,V001341,value
M072,elongationXY,V001342,value
M072,hdt045,V001346,value
M073,density,V001353,value
M073,tensileModulusXY,V001361,value
M073,tensileStrengthXY,V001363,value
M073,elongationXY,V001365,value
M073,hdt045,V001359,value
M074,density,V001374,value
M074,tensileModulusXY,V001381,value
M074,tensileStrengthXY,V001379,value
M074,elongationXY,V001383,value
M074,hdt045,V001378,value
M075,density,V001406,value
M076,density,V001418,value
M077,density,V001808,value
M077,hdt045,V001810,context
M078,density,V001427,value
M079,density,V001439,value
M080,density,V001458,value
M081,density,V001470,value
M081,tensileModulusXY,V001472,value
M081,elongationXY,V001473,value
M081,hdt045,V001477,value
M082,density,V002053,value
M082,tensileModulusXY,V001499,context
M082,elongationXY,V001497,context
M082,hdt045,V001501,value
M083,density,V001502,value
M083,tensileModulusXY,V001504,value
M083,elongationXY,V001505,value
M083,hdt045,V001508,value
M084,density,V001509,value
M084,tensileModulusXY,V001511,value
M084,elongationXY,V001512,value
M084,hdt045,V001515,value
M085,density,V002277,value
M086,density,V001683,value
M087,density,V002018,value
M087,tensileModulusXY,V002023,value
M087,tensileStrengthXY,V002021,value
M087,elongationXY,V002022,value
M088,density,V001523,value
M088,tensileModulusXY,V001525,value
M088,elongationXY,V001526,value
M088,hdt045,V001531,value
M089,density,V001947,value
M089,hdt045,V001954,value
M090,density,V001676,value
M091,density,V001919,value
M091,tensileModulusXY,V001921,value
M091,tensileStrengthXY,V001922,value
M091,hdt045,V001920,context
M092,tensileModulusXY,V001956,value
M092,tensileStrengthXY,V001957,value
M092,elongationXY,V001958,value
M092,hdt045,V001965,context
M093,density,V001695,value
M093,hdt045,V001698,value
M094,density,V001547,value
M094,tensileModulusXY,V001549,value
M094,elongationXY,V001550,value
M094,hdt045,V001554,value
M095,density,V001583,value
M095,tensileModulusXY,V001591,value
M095,tensileStrengthXY,V001593,value
M095,elongationXY,V001595,value
M095,hdt045,V001589,value
M096,density,V001603,value
M096,tensileModulusXY,V001605,value
M096,elongationXY,V001606,value
M096,hdt045,V001610,value
M097,density,V001611,value
M097,tensileModulusXY,V001613,value
M097,tensileStrengthXY,V001612,value
M097,elongationXY,V001614,value
M097,hdt045,V001618,value
M098,density,V001619,value
M098,tensileModulusXY,V001621,value
M098,tensileStrengthXY,V001620,value
M098,elongationXY,V001622,value
M098,hdt045,V001626,value
M099,density,V001635,value
M099,tensileModulusXY,V001637,value
M099,tensileStrengthXY,V001636,value
M099,elongationXY,V001638,value
M099,hdt045,V001642,value
M100,density,V001643,value
M100,tensileModulusXY,V001645,value
M100,tensileStrengthXY,V001644,value
M100,elongationXY,V001646,value
M100,hdt045,V001650,value
M101,density,V001651,value
M102,density,V001659,value
M102,tensileModulusXY,V001661,value
M102,tensileStrengthXY,V001660,value
M102,elongationXY,V001662,value
M102,hdt045,V001666,value
M065,hdt045,V002065,value
M103,density,V002226,value
M103,tensileModulusXY,V002228,value
M103,elongationXY,V002229,value
M103,hdt045,V002232,value
M038,density,V001829,value
M038,tensileModulusXY,V001839,value
M038,hdt045,V001831,value
M085,tensileModulusXY,V002280,value
M085,tensileStrengthXY,V002278,value
M085,elongationXY,V002279,value
M085,hdt045,V002283,value
M114,density,V003134,value
M114,tensileModulusXY,V003136,value
M114,tensileStrengthXY,V003135,value
M114,hdt045,V003140,value
M115,density,V003141,value
M115,tensileModulusXY,V003143,value
M115,tensileStrengthXY,V003142,value
M115,elongationXY,V003144,value
M115,hdt045,V003148,value
M116,density,V003149,value
M116,tensileModulusXY,V003151,value
M116,tensileStrengthXY,V003150,value
M116,elongationXY,V003152,value
M116,hdt045,V003156,value
M117,density,V003165,value
M117,tensileModulusXY,V003167,value
M117,tensileStrengthXY,V003166,value
M117,elongationXY,V003168,value
M117,hdt045,V003172,value
M118,density,V003197,value
M118,tensileModulusXY,V003199,value
M118,tensileStrengthXY,V003198,value
M118,elongationXY,V003200,value
M118,hdt045,V003204,value
M119,density,V003238,value
M119,tensileModulusXY,V003240,value
M119,tensileStrengthXY,V003239,value
M119,elongationXY,V003241,value
M119,hdt045,V003245,value
M120,density,V003246,value
M120,tensileModulusXY,V003248,value
M120,tensileStrengthXY,V003247,value
M120,elongationXY,V003249,value
M120,hdt045,V003253,value
M121,density,V003254,value
M121,tensileModulusXY,V003256,value
M121,tensileStrengthXY,V003255,value
M121,elongationXY,V003257,value
M121,hdt045,V003261,value
M122,density,V003270,value
M122,tensileModulusXY,V003272,value
M122,tensileStrengthXY,V003271,value
M122,elongationXY,V003273,value
M122,hdt045,V003278,value
M123,density,V003295,value
M123,tensileModulusXY,V003297,value
M123,tensileStrengthXY,V003296,value
M123,elongationXY,V003298,value
M124,density,V003310,value
M124,tensileModulusXY,V003312,value
M124,tensileStrengthXY,V003311,value
M124,elongationXY,V003313,value
M124,hdt045,V003317,value
M125,density,V003318,value
M125,tensileModulusXY,V003320,value
M125,tensileStrengthXY,V003319,value
M125,elongationXY,V003321,value
M125,hdt045,V003325,value
M126,density,V003326,value
M126,tensileStrengthXY,V003327,value
M127,density,V003353,value
M127,tensileModulusXY,V003355,value
M127,tensileStrengthXY,V003354,value
M127,elongationXY,V003356,value
M127,hdt045,V003360,value
M128,density,V003377,value
M128,tensileModulusXY,V003379,value
M128,tensileStrengthXY,V003378,value
M128,elongationXY,V003380,value
M128,hdt045,V003384,value
M129,density,V004074,value
M130,density,V004082,value
M130,tensileModulusXY,V004084,value
M130,tensileStrengthXY,V004083,value
M130,elongationXY,V004085,value
