Name,Property,Min,Max
Ethylene tetrafluoroethylene (ETFE),tensileStrength,42,47
Ethylene tetrafluoroethylene (ETFE),compressiveStrength,46.6,51.4
Ethylene tetrafluoroethylene (ETFE),elongation,200,400
Ethylene tetrafluoroethylene (ETFE),fractureToughness,3.12,6.47
Ethylene tetrafluoroethylene (ETFE),thermalExpansion,104,111
Ionomer (I),density,930,960
Ionomer (I),tensileModulus,0.2,0.424
Ionomer (I),yieldStrength,8.27,15.9
Ionomer (I),tensileStrength,17.2,37.2
Ionomer (I),compressiveStrength,9.1,17.5
Ionomer (I),elongation,300,700
Ionomer (I),fractureToughness,1.14,3.43
Ionomer (I),thermalExpansion,180,306
"Polyamides (nylons, PA)",density,1120,1140
"Polyamides (nylons, PA)",tensileModulus,2.62,3.2
"Polyamides (nylons, PA)",yieldStrength,50,94.8
"Polyamides (nylons, PA)",tensileStrength,90,165
"Polyamides (nylons, PA)",compressiveStrength,55,104
"Polyamides (nylons, PA)",elongation,30,100
"Polyamides (nylons, PA)",fractureToughness,2.22,5.62
"Polyamides (nylons, PA)",thermalExpansion,144,149
Polycarbonate (PC),density,1140,1210
Polycarbonate (PC),tensileModulus,2,2.44
Polycarbonate (PC),yieldStrength,59,70
Polycarbonate (PC),tensileStrength,60,72.4
Polycarbonate (PC),compressiveStrength,69,86.9
Polycarbonate (PC),elongation,70,150
Polycarbonate (PC),fractureToughness,2.1,4.6
Polycarbonate (PC),thermalExpansion,120,137
Polyetheretherketone (PEEK),density,1300,1320
Polyetheretherketone (PEEK),tensileModulus,3.75,3.95
Polyetheretherketone (PEEK),yieldStrength,65,95
Polyetheretherketone (PEEK),tensileStrength,70,103
Polyetheretherketone (PEEK),compressiveStrength,71.5,105
Polyetheretherketone (PEEK),elongation,30,150
Polyetheretherketone (PEEK),fractureToughness,2.73,4.3
Polyetheretherketone (PEEK),thermalExpansion,72,194
Polyethylene (PE),density,939,960
Polyethylene (PE),tensileModulus,0.621,0.896
Polyethylene (PE),yieldStrength,17.9,29
Polyethylene (PE),tensileStrength,20.7,44.8
Polyethylene (PE),compressiveStrength,19.7,31.9
Polyethylene (PE),elongation,200,800
Polyethylene (PE),fractureToughness,1.44,1.72
Polyethylene (PE),thermalExpansion,126,198
"Polyethylene terephthalate (PET, PETE)",density,1290,1400
"Polyethylene terephthalate (PET, PETE)",tensileModulus,2.76,4.14
"Polyethylene terephthalate (PET, PETE)",yieldStrength,56.5,62.3
"Polyethylene terephthalate (PET, PETE)",tensileStrength,48.3,72.4
"Polyethylene terephthalate (PET, PETE)",compressiveStrength,62.2,68.5
"Polyethylene terephthalate (PET, PETE)",elongation,30,300
"Polyethylene terephthalate (PET, PETE)",fractureToughness,4.5,5.5
"Polyethylene terephthalate (PET, PETE)",thermalExpansion,115,119
"Polymethyl methacrylate (acrylic, PMMA)",density,1160,1220
"Polymethyl methacrylate (acrylic, PMMA)",tensileModulus,2.24,3.8
"Polymethyl methacrylate (acrylic, PMMA)",yieldStrength,53.8,72.4
"Polymethyl methacrylate (acrylic, PMMA)",tensileStrength,48.3,79.6
"Polymethyl methacrylate (acrylic, PMMA)",compressiveStrength,72.4,131
"Polymethyl methacrylate (acrylic, PMMA)",elongation,2,10
"Polymethyl methacrylate (acrylic, PMMA)",fractureToughness,0.7,1.6
"Polymethyl methacrylate (acrylic, PMMA)",thermalExpansion,72,162
"Polyoxymethylene (acetal, POM)",density,1390,1430
"Polyoxymethylene (acetal, POM)",tensileModulus,2.5,5
"Polyoxymethylene (acetal, POM)",yieldStrength,48.6,72.4
"Polyoxymethylene (acetal, POM)",tensileStrength,60,89.6
"Polyoxymethylene (acetal, POM)",compressiveStrength,74.9,124
"Polyoxymethylene (acetal, POM)",elongation,10,75
"Polyoxymethylene (acetal, POM)",fractureToughness,1.71,4.2
"Polyoxymethylene (acetal, POM)",thermalExpansion,75.7,202
Polypropylene (PP),density,890,910
Polypropylene (PP),tensileModulus,0.896,1.55
Polypropylene (PP),yieldStrength,20.7,37.2
Polypropylene (PP),tensileStrength,27.6,41.4
Polypropylene (PP),compressiveStrength,25.1,55.2
Polypropylene (PP),elongation,100,600
Polypropylene (PP),fractureToughness,3,4.5
Polypropylene (PP),thermalExpansion,122,180
Polystyrene (PS),density,1040,1050
Polystyrene (PS),tensileModulus,1.2,2.6
Polystyrene (PS),yieldStrength,28.7,56.2
Polystyrene (PS),tensileStrength,35.9,56.2
Polystyrene (PS),compressiveStrength,31.6,61.8
Polystyrene (PS),elongation,1.2,3.6
Polystyrene (PS),fractureToughness,0.7,1.1
Polystyrene (PS),thermalExpansion,90,153
Polytetrafluoroethylene (PTFE),density,2140,2200
Polytetrafluoroethylene (PTFE),tensileModulus,0.4,0.552
Polytetrafluoroethylene (PTFE),yieldStrength,15,25
Polytetrafluoroethylene (PTFE),tensileStrength,20,30
Polytetrafluoroethylene (PTFE),compressiveStrength,16.5,27.5
Polytetrafluoroethylene (PTFE),elongation,200,400
Polytetrafluoroethylene (PTFE),fractureToughness,1.32,1.8
Polytetrafluoroethylene (PTFE),thermalExpansion,126,216
Polyurethane (tpPUR),density,1120,1240
Polyurethane (tpPUR),tensileModulus,1.31,2.07
Polyurethane (tpPUR),yieldStrength,40,53.8
Polyurethane (tpPUR),tensileStrength,31,62
Polyurethane (tpPUR),compressiveStrength,44,59.2
Polyurethane (tpPUR),elongation,60,550
Polyurethane (tpPUR),fractureToughness,1.84,4.97
Polyurethane (tpPUR),thermalExpansion,90,144
Polyvinylchloride (tpPVC),density,1300,1580
Polyvinylchloride (tpPVC),tensileModulus,2.14,4.14
Polyvinylchloride (tpPVC),yieldStrength,35.4,52.1
Polyvinylchloride (tpPVC),tensileStrength,40.7,65.1
Polyvinylchloride (tpPVC),compressiveStrength,42.5,89.6
Polyvinylchloride (tpPVC),elongation,11.9,80
Polyvinylchloride (tpPVC),fractureToughness,1.46,5.12
Polyvinylchloride (tpPVC),thermalExpansion,100,150
Epoxies,density,1110,1400
Epoxies,tensileModulus,2.35,3.08
Epoxies,yieldStrength,36,71.7
Epoxies,tensileStrength,45,89.6
Epoxies,compressiveStrength,39.6,78.8
Epoxies,elongation,2,10
Epoxies,fractureToughness,0.7,1.8
Epoxies,thermalExpansion,58,117
Phenolics,density,1240,1320
Phenolics,tensileModulus,2.76,4.83
Phenolics,yieldStrength,27.6,49.7
Phenolics,tensileStrength,34.5,62.1
Phenolics,compressiveStrength,30.4,54.6
Phenolics,elongation,1.5,2
Phenolics,fractureToughness,0.787,1.21
Phenolics,thermalExpansion,120,125
Polyester,density,1040,1400
Polyester,tensileModulus,2.07,4.41
Polyester,yieldStrength,33,40
Polyester,tensileStrength,41.4,89.6
Polyester,compressiveStrength,36.3,44
Polyester,elongation,2,2.6
Polyester,fractureToughness,1.09,1.69
Polyester,thermalExpansion,99,180
Bamboo,density,600,800
Bamboo,tensileModulus,15,20
Bamboo,yieldStrength,35,44
Bamboo,tensileStrength,36,45
Bamboo,compressiveStrength,50,100
Bamboo,elongation,2.88,5.5
Bamboo,fractureToughness,5,7
Bamboo,thermalExpansion,2.6,10
Cork,density,120,240
Cork,tensileModulus,0.013,0.05
Cork,yieldStrength,0.3,0.8
Cork,tensileStrength,0.5,2.5
Cork,compressiveStrength,0.54,2
Cork,elongation,20,80
Cork,fractureToughness,0.05,0.1
Cork,thermalExpansion,130,230
Glulam,density,500,650
Glulam,tensileModulus,12,14
Glulam,yieldStrength,9,12
Glulam,tensileStrength,9.65,12.4
Glulam,compressiveStrength,8.3,11
Glulam,elongation,1.5,2.5
Glulam,fractureToughness,4,6
Glulam,thermalExpansion,3,10
Hardboard parallel to board,density,800,1050
Hardboard parallel to board,tensileModulus,2.4,3.5
Hardboard parallel to board,yieldStrength,12,18
Hardboard parallel to board,tensileStrength,15,21
Hardboard parallel to board,compressiveStrength,30,45
Hardboard parallel to board,elongation,0.1,0.11
Hardboard parallel to board,fractureToughness,0.5,1
Hardboard parallel to board,thermalExpansion,10,15
Hardboard perpendicular to board,density,800,1050
Hardboard perpendicular to board,tensileModulus,0.5,1
Hardboard perpendicular to board,yieldStrength,0.5,0.9
Hardboard perpendicular to board,tensileStrength,0.6,1
Hardboard perpendicular to board,compressiveStrength,20,40
Hardboard perpendicular to board,elongation,0.44,0.54
Hardboard perpendicular to board,fractureToughness,1,2
Hardboard perpendicular to board,thermalExpansion,10,15
Hardwood (oak) parallel to the grain,density,660,700
Hardwood (oak) parallel to the grain,tensileModulus,13.2,13.9
Hardwood (oak) parallel to the grain,yieldStrength,43,55
Hardwood (oak) parallel to the grain,tensileStrength,110,140
Hardwood (oak) parallel to the grain,compressiveStrength,49,70
Hardwood (oak) parallel to the grain,elongation,1.99,2.43
Hardwood (oak) parallel to the grain,fractureToughness,6.5,8
Hardwood (oak) parallel to the grain,thermalExpansion,2,11
Hardwood (oak) transverse to the grain,density,660,800
Hardwood (oak) transverse to the grain,tensileModulus,0.5,3
Hardwood (oak) transverse to the grain,yieldStrength,2,6
Hardwood (oak) transverse to the grain,tensileStrength,4,9
Hardwood (oak) transverse to the grain,compressiveStrength,4.5,4.9
Hardwood (oak) transverse to the grain,elongation,1,1.5
Hardwood (oak) transverse to the grain,fractureToughness,0.5,0.8
Hardwood (oak) transverse to the grain,thermalExpansion,33,44
Softwood (pine) parallel to the grain,density,380,420
Softwood (pine) parallel to the grain,tensileModulus,7.4,7.8
Softwood (pine) parallel to the grain,yieldStrength,30,50
Softwood (pine) parallel to the grain,tensileStrength,55,70
Softwood (pine) parallel to the grain,compressiveStrength,16.7,17.1
Softwood (pine) parallel to the grain,elongation,1.99,2.43
Softwood (pine) parallel to the grain,fractureToughness,5,9
Softwood (pine) parallel to the grain,thermalExpansion,2,11
Softwood (pine) transverse to the grain,density,380,420
Softwood (pine) transverse to the grain,tensileModulus,0.5,1
Softwood (pine) transverse to the grain,yieldStrength,2,2.5
Softwood (pine) transverse to the grain,tensileStrength,2.7,3.1
Softwood (pine) transverse to the grain,compressiveStrength,3.8,4.2
Softwood (pine) transverse to the grain,elongation,1,1.5
Softwood (pine) transverse to the grain,fractureToughness,0.5,0.8
Softwood (pine) transverse to the grain,thermalExpansion,24,34
Straw bale,density,80,191
Straw bale,tensileModulus,0.0005,0.002
Straw bale,yieldStrength,0.16,0.48
Straw bale,tensileStrength,0.01,0.02
Straw bale,compressiveStrength,0.16,0.48
Straw bale,elongation,10,20
Straw bale,fractureToughness,0.02,0.03
Straw bale,thermalExpansion,2,11
Medium density fiberboard parallel to board,density,640,800
Medium density fiberboard parallel to board,tensileModulus,2.4,3.4
Medium density fiberboard parallel to board,yieldStrength,12,18
Medium density fiberboard parallel to board,tensileStrength,13,22
Medium density fiberboard parallel to board,compressiveStrength,4.5,10.5
Medium density fiberboard parallel to board,elongation,0.45,0.55
Medium density fiberboard parallel to board,fractureToughness,0.5,1
Medium density fiberboard parallel to board,thermalExpansion,10,15
Medium density fiberboard perpendicular to board,density,640,800
Medium density fiberboard perpendicular to board,tensileModulus,1.8,3.2
Medium density fiberboard perpendicular to board,yieldStrength,4.5,5.5
Medium density fiberboard perpendicular to board,tensileStrength,8.5,21
Medium density fiberboard perpendicular to board,compressiveStrength,3,7
Medium density fiberboard perpendicular to board,elongation,0.3,0.36
Medium density fiberboard perpendicular to board,fractureToughness,1,2
Medium density fiberboard perpendicular to board,thermalExpansion,10,15
Particleboard parallel to board,density,640,800
Particleboard parallel to board,tensileModulus,1.6,2.4
Particleboard parallel to board,yieldStrength,5.04,8.64
Particleboard parallel to board,tensileStrength,8,14
Particleboard parallel to board,compressiveStrength,9.6,19.2
Particleboard parallel to board,elongation,0.37,0.45
Particleboard parallel to board,fractureToughness,0.5,1
Particleboard parallel to board,thermalExpansion,10,15
Particleboard perpendicular to board,density,640,800
Particleboard perpendicular to board,tensileModulus,1.2,2.7
Particleboard perpendicular to board,yieldStrength,4.2,7.2
Particleboard perpendicular to board,tensileStrength,7,12
Particleboard perpendicular to board,compressiveStrength,8,16
Particleboard perpendicular to board,elongation,0.29,0.35
Particleboard perpendicular to board,fractureToughness,1,2
Particleboard perpendicular to board,thermalExpansion,10,15
Polywood parallel to board,density,700,800
Polywood parallel to board,tensileModulus,6.9,13
Polywood parallel to board,yieldStrength,9,22
Polywood parallel to board,tensileStrength,10,28
Polywood parallel to board,compressiveStrength,27,34
Polywood parallel to board,elongation,2.43,2.97
Polywood parallel to board,fractureToughness,1,1.8
Polywood parallel to board,thermalExpansion,6,8
Polywood perpendicular to board,density,700,800
Polywood perpendicular to board,tensileModulus,3.4,5.1
Polywood perpendicular to board,yieldStrength,4,6
Polywood perpendicular to board,tensileStrength,4,6
Polywood perpendicular to board,compressiveStrength,17.5,26.5
Polywood perpendicular to board,elongation,2.38,2.91
Polywood perpendicular to board,fractureToughness,0.5,1
Polywood perpendicular to board,thermalExpansion,6,8
