Name,Property,Min,Max
High performance concrete,tensileModulus,25,27
High performance concrete,yieldStrength,6,10
High performance concrete,tensileStrength,6,9
High performance concrete,compressiveStrength,55.2,75.8
High performance concrete,elongation,0,0
High performance concrete,fractureToughness,0.1,0.4
High performance concrete,thermalExpansion,7,11
High volume fly ash concrete,density,1830,2200
High volume fly ash concrete,tensileModulus,30,41
High volume fly ash concrete,yieldStrength,1.5,2.5
High volume fly ash concrete,tensileStrength,1.5,2.5
High volume fly ash concrete,compressiveStrength,45,58
High volume fly ash concrete,elongation,0,0
High volume fly ash concrete,fractureToughness,0.35,0.45
High volume fly ash concrete,thermalExpansion,12,13
Reactive powder concrete,density,2500,2750
Reactive powder concrete,tensileModulus,28,32
Reactive powder concrete,yieldStrength,40,45
Reactive powder concrete,tensileStrength,5,8
Reactive powder concrete,compressiveStrength,200,600
Reactive powder concrete,elongation,2,3
Reactive powder concrete,fractureToughness,2,3
Reactive powder concrete,thermalExpansion,7,11
Plaster of Paris,density,1180,1700
Plaster of Paris,tensileModulus,4.5,8
Plaster of Paris,yieldStrength,1,4.5
Plaster of Paris,tensileStrength,1,4.5
Plaster of Paris,compressiveStrength,14,20
Plaster of Paris,elongation,0,0
Plaster of Paris,fractureToughness,0.01,0.014
Plaster of Paris,thermalExpansion,8,10
Granite,density,2630,2800
Granite,tensileModulus,40,60
Granite,yieldStrength,9,18
Granite,tensileStrength,9,18
Granite,compressiveStrength,160,240
Granite,elongation,0,0
Granite,fractureToughness,0.9,2.2
Granite,thermalExpansion,10,12
Limestone,density,2150,2500
Limestone,tensileModulus,20,50
Limestone,yieldStrength,3,10
Limestone,tensileStrength,3,10
Limestone,compressiveStrength,28,50
Limestone,elongation,0,0
Limestone,fractureToughness,0.6,1
Limestone,thermalExpansion,3.7,6.3
Marble,density,2720,2850
Marble,tensileModulus,45,80
Marble,yieldStrength,6,10
Marble,tensileStrength,6,10
Marble,compressiveStrength,55,105
Marble,elongation,0,0
Marble,fractureToughness,0.6,1.2
Marble,thermalExpansion,3,5
Standstone,density,2240,2650
Standstone,tensileModulus,14,40
Standstone,yieldStrength,4,15
Standstone,tensileStrength,4,15
Standstone,compressiveStrength,70,90
Standstone,elongation,0,0
Standstone,fractureToughness,0.7,1.5
Standstone,thermalExpansion,7.5,8.5
Slate,density,2600,2900
Slate,tensileModulus,60,90
Slate,yieldStrength,20,50
Slate,tensileStrength,20,50
Slate,compressiveStrength,75,175
Slate,elongation,0,0
Slate,fractureToughness,0.4,1.1
Slate,thermalExpansion,10,12
Borosilicate glass (Pyrex),density,2200,2300
Borosilicate glass (Pyrex),tensileModulus,70,76
Borosilicate glass (Pyrex),yieldStrength,22,32
Borosilicate glass (Pyrex),tensileStrength,22,32
Borosilicate glass (Pyrex),compressiveStrength,264,384
Borosilicate glass (Pyrex),elongation,0,0
Borosilicate glass (Pyrex),fractureToughness,0.5,0.7
Borosilicate glass (Pyrex),thermalExpansion,3.2,4
Laminated glass,density,2350,2450
Laminated glass,tensileModulus,66,68
Laminated glass,yieldStrength,33,38
Laminated glass,tensileStrength,33,38
Laminated glass,compressiveStrength,370,410
Laminated glass,elongation,0,0
Laminated glass,fractureToughness,1,1.3
Laminated glass,thermalExpansion,9.1,9.5
Low-e glass,density,2440,2490
Low-e glass,tensileModulus,68,72
Low-e glass,yieldStrength,31,35
Low-e glass,tensileStrength,31,35
Low-e glass,compressiveStrength,360,420
Low-e glass,elongation,0,0
Low-e glass,fractureToughness,0.55,0.7
Low-e glass,thermalExpansion,9.1,9.5
Silica glass (Vycor),density,2180,2190
Silica glass (Vycor),tensileModulus,87,90
Silica glass (Vycor),yieldStrength,45,155
Silica glass (Vycor),tensileStrength,45,155
Silica glass (Vycor),compressiveStrength,1100,1600
Silica glass (Vycor),elongation,0,0
Silica glass (Vycor),fractureToughness,0.6,0.8
Silica glass (Vycor),thermalExpansion,0.55,0.75
Soda-Lime glass (float glass),density,2500,2540
Soda-Lime glass (float glass),tensileModulus,68,72
Soda-Lime glass (float glass),yieldStrength,30,35
Soda-Lime glass (float glass),tensileStrength,31,35
Soda-Lime glass (float glass),compressiveStrength,360,420
Soda-Lime glass (float glass),elongation,0,0
Soda-Lime glass (float glass),fractureToughness,0.55,0.7
Soda-Lime glass (float glass),thermalExpansion,8.5,9.5
Alumina,density,3800,3980
Alumina,tensileModulus,343,390
Alumina,yieldStrength,350,588
Alumina,tensileStrength,350,588
Alumina,compressiveStrength,690,5500
Alumina,elongation,0,0
Alumina,fractureToughness,3.3,4.8
Alumina,thermalExpansion,7,7.9
Aluminum nitride,density,3260,3330
Aluminum nitride,tensileModulus,302,348
Aluminum nitride,yieldStrength,197,270
Aluminum nitride,tensileStrength,197,270
Aluminum nitride,compressiveStrength,1970,2700
Aluminum nitride,elongation,0.08,0.08
Aluminum nitride,fractureToughness,2.5,3.4
Aluminum nitride,thermalExpansion,4.6,5.3
Boron carbide,density,2350,2550
