table,record,action,field,before,after
coverage,C01253,Edited,Status,Resolved,Superseded
coverage,C01253,Edited,Manufacturer count,4,Not applicable
coverage,C01253,Edited,Finding,"4 distinct manufacturer(s) documented against target 3: 3D4Makers, 3DXTECH, SUNLU, iSANMATE. Recounted 2026-09-20 (m81-batch-b12) after the grades this batch added.","Superseded by C01292 (2026-09-20; was ""Resolved""): 4 distinct manufacturer(s) documented against target 3: 3D4Makers, 3DXTECH, SUNLU, iSANMATE. Recounted 2026-09-20 (m81-batch-b12) after the grades this batch added."
coverage,C01254,Edited,Status,Gap,Superseded
coverage,C01254,Edited,Manufacturer count,2,Not applicable
coverage,C01254,Edited,Finding,"2 distinct manufacturer(s) documented against target 3: 3D4Makers, 3DXTECH. Recounted 2026-09-20 (m81-batch-b12) after the grades this batch added.","Superseded by C01295 (2026-09-20; was ""Gap""): 2 distinct manufacturer(s) documented against target 3: 3D4Makers, 3DXTECH. Recounted 2026-09-20 (m81-batch-b12) after the grades this batch added."
coverage,C01259,Edited,Status,Resolved,Superseded
coverage,C01259,Edited,Manufacturer count,3,Not applicable
coverage,C01259,Edited,Finding,"3 distinct manufacturer(s) documented against target 3: Polymaker, eSUN, iSANMATE. Recounted 2026-09-20 (m81-batch-b12) after the grades this batch added.","Superseded by C01293 (2026-09-20; was ""Resolved""): 3 distinct manufacturer(s) documented against target 3: Polymaker, eSUN, iSANMATE. Recounted 2026-09-20 (m81-batch-b12) after the grades this batch added."
coverage,C01279,Edited,Status,Resolved,Superseded
coverage,C01279,Edited,Manufacturer count,5,Not applicable
coverage,C01279,Edited,Finding,"5 distinct manufacturer(s) documented against target 3: 3D-Fuel, 3DXTECH, Extrudr, FormFutura, Spectrum. Recounted 2026-09-20 (m83-batch-b14) after the grades this batch added.","Superseded by C01291 (2026-09-20; was ""Resolved""): 5 distinct manufacturer(s) documented against target 3: 3D-Fuel, 3DXTECH, Extrudr, FormFutura, Spectrum. Recounted 2026-09-20 (m83-batch-b14) after the grades this batch added."
coverage,C01283,Edited,Status,Resolved,Superseded
coverage,C01283,Edited,Manufacturer count,4,Not applicable
coverage,C01283,Edited,Finding,"4 distinct manufacturer(s) documented against target 3: Eryone, Nanovia, QIDI, iSANMATE. Recounted 2026-09-20 (m86-batch-b16) after the grades this batch added.","Superseded by C01294 (2026-09-20; was ""Resolved""): 4 distinct manufacturer(s) documented against target 3: Eryone, Nanovia, QIDI, iSANMATE. Recounted 2026-09-20 (m86-batch-b16) after the grades this batch added."
coverage,C01284,Edited,Status,Resolved,Superseded
coverage,C01284,Edited,Manufacturer count,21,Not applicable
coverage,C01284,Edited,Finding,"21 distinct manufacturer(s) documented against target 3: BigRep, Eryone, Essentium, Extrudr, Fabru / purefil, Fillamentum, Flashforge, FormFutura, Nanovia, NinjaTek, Polymaker, Prusa Research, QIDI, Raise3D, Recreus, SIDDAMENT, SUNLU, Spectrum, colorFabb, eSUN, iSANMATE. Recounted 2026-09-20 (m86-batch-b16) after the grades this batch added.","Superseded by C01289 (2026-09-20; was ""Resolved""): 21 distinct manufacturer(s) documented against target 3: BigRep, Eryone, Essentium, Extrudr, Fabru / purefil, Fillamentum, Flashforge, FormFutura, Nanovia, NinjaTek, Polymaker, Prusa Research, QIDI, Raise3D, Recreus, SIDDAMENT, SUNLU, Spectrum, colorFabb, eSUN, iSANMATE. Recounted 2026-09-20 (m86-batch-b16) after the grades this batch added."
coverage,C01288,Edited,Status,Resolved,Superseded
coverage,C01288,Edited,Manufacturer count,8,Not applicable
coverage,C01288,Edited,Finding,"8 distinct manufacturer(s) documented against target 3: 3D4Makers, 3DXTECH, Fiberlogy, Flashforge, Nanovia, Prusa Research, eSUN, iSANMATE. Recounted 2026-09-20 (m87-batch-b18) after the grades this batch added.","Superseded by C01290 (2026-09-20; was ""Resolved""): 8 distinct manufacturer(s) documented against target 3: 3D4Makers, 3DXTECH, Fiberlogy, Flashforge, Nanovia, Prusa Research, eSUN, iSANMATE. Recounted 2026-09-20 (m87-batch-b18) after the grades this batch added."
coverage,C01289,Added,,,
coverage,C01290,Added,,,
coverage,C01291,Added,,,
coverage,C01292,Added,,,
coverage,C01293,Added,,,
coverage,C01294,Added,,,
coverage,C01295,Added,,,
grades,G001-113,Added,,,
grades,G039-52,Added,,,
grades,G001-114,Added,,,
grades,G001-115,Added,,,
grades,G027-34,Added,,,
grades,G001-116,Added,,,
grades,G024-17,Added,,,
grades,G001-117,Added,,,
grades,G014-11,Added,,,
grades,G018-14,Added,,,
grades,G001-118,Added,,,
grades,G020-48,Added,,,
grades,G001-119,Added,,,
grades,G027-35,Added,,,
grades,G001-120,Added,,,
grades,G030-09,Added,,,
grades,G001-121,Added,,,
grades,G088-06,Added,,,
grades,G027-36,Added,,,
grades,G039-53,Added,,,
grades,G027-37,Added,,,
grades,G144-02,Added,,,
grades,G020-49,Added,,,
grades,G097-07,Added,,,
grades,G039-54,Added,,,
grades,G019-04,Added,,,
grades,G039-55,Added,,,
grades,G031-28,Added,,,
grades,G001-122,Added,,,
grades,G025-05,Added,,,
grades,G027-38,Added,,,
grades,G033-15,Added,,,
grades,G001-123,Added,,,
grades,G001-124,Added,,,
grades,G098-05,Added,,,
grades,G008-16,Added,,,
grades,G030-10,Added,,,
grades,G031-29,Added,,,
grades,G020-50,Added,,,
grades,G001-125,Added,,,
grades,G020-51,Added,,,
grades,G039-56,Added,,,
grades,G037-09,Added,,,
grades,G026-09,Added,,,
grades,G001-126,Added,,,
grades,G001-127,Added,,,
grades,G020-52,Added,,,
grades,G111-02,Added,,,
grades,G001-128,Added,,,
grades,G031-30,Added,,,
grades,G027-39,Added,,,
grades,G001-129,Added,,,
grades,G011-06,Added,,,
grades,G020-53,Added,,,
grades,G031-31,Added,,,
grades,G018-15,Added,,,
grades,G024-18,Added,,,
grades,G020-54,Added,,,
grades,G039-57,Added,,,
grades,G018-16,Added,,,
grades,G031-32,Added,,,
grades,G001-130,Added,,,
grades,G001-131,Added,,,
grades,G008-17,Added,,,
grades,G008-18,Added,,,
grades,G020-55,Added,,,
grades,G001-132,Added,,,
measurements,V008736,Added,,,
measurements,V008737,Added,,,
measurements,V008738,Added,,,
measurements,V008739,Added,,,
measurements,V008740,Added,,,
measurements,V008741,Added,,,
measurements,V008742,Added,,,
measurements,V008743,Added,,,
measurements,V008744,Added,,,
measurements,V008745,Added,,,
measurements,V008746,Added,,,
measurements,V008747,Added,,,
measurements,V008748,Added,,,
measurements,V008749,Added,,,
measurements,V008750,Added,,,
measurements,V008751,Added,,,
measurements,V008752,Added,,,
measurements,V008753,Added,,,
measurements,V008754,Added,,,
measurements,V008755,Added,,,
measurements,V008756,Added,,,
measurements,V008757,Added,,,
measurements,V008758,Added,,,
measurements,V008759,Added,,,
measurements,V008760,Added,,,
measurements,V008761,Added,,,
measurements,V008762,Added,,,
measurements,V008763,Added,,,
measurements,V008764,Added,,,
measurements,V008765,Added,,,
measurements,V008766,Added,,,
measurements,V008767,Added,,,
measurements,V008768,Added,,,
measurements,V008769,Added,,,
measurements,V008770,Added,,,
measurements,V008771,Added,,,
measurements,V008772,Added,,,
measurements,V008773,Added,,,
measurements,V008774,Added,,,
measurements,V008775,Added,,,
measurements,V008776,Added,,,
measurements,V008777,Added,,,
measurements,V008778,Added,,,
measurements,V008779,Added,,,
measurements,V008780,Added,,,
measurements,V008781,Added,,,
measurements,V008782,Added,,,
measurements,V008783,Added,,,
measurements,V008784,Added,,,
measurements,V008785,Added,,,
measurements,V008786,Added,,,
measurements,V008787,Added,,,
measurements,V008788,Added,,,
measurements,V008789,Added,,,
measurements,V008790,Added,,,
measurements,V008791,Added,,,
measurements,V008792,Added,,,
measurements,V008793,Added,,,
measurements,V008794,Added,,,
measurements,V008795,Added,,,
measurements,V008796,Added,,,
measurements,V008797,Added,,,
measurements,V008798,Added,,,
measurements,V008799,Added,,,
measurements,V008800,Added,,,
measurements,V008801,Added,,,
measurements,V008802,Added,,,
measurements,V008803,Added,,,
measurements,V008804,Added,,,
measurements,V008805,Added,,,
measurements,V008806,Added,,,
measurements,V008807,Added,,,
measurements,V008808,Added,,,
measurements,V008809,Added,,,
measurements,V008810,Added,,,
measurements,V008811,Added,,,
measurements,V008812,Added,,,
measurements,V008813,Added,,,
measurements,V008814,Added,,,
measurements,V008815,Added,,,
measurements,V008816,Added,,,
measurements,V008817,Added,,,
measurements,V008818,Added,,,
measurements,V008819,Added,,,
measurements,V008820,Added,,,
measurements,V008821,Added,,,
measurements,V008822,Added,,,
measurements,V008823,Added,,,
measurements,V008824,Added,,,
measurements,V008825,Added,,,
measurements,V008826,Added,,,
measurements,V008827,Added,,,
measurements,V008828,Added,,,
measurements,V008829,Added,,,
measurements,V008830,Added,,,
measurements,V008831,Added,,,
measurements,V008832,Added,,,
measurements,V008833,Added,,,
measurements,V008834,Added,,,
measurements,V008835,Added,,,
measurements,V008836,Added,,,
measurements,V008837,Added,,,
measurements,V008838,Added,,,
measurements,V008839,Added,,,
measurements,V008840,Added,,,
measurements,V008841,Added,,,
measurements,V008842,Added,,,
measurements,V008843,Added,,,
measurements,V008844,Added,,,
measurements,V008845,Added,,,
measurements,V008846,Added,,,
measurements,V008847,Added,,,
measurements,V008848,Added,,,
measurements,V008849,Added,,,
measurements,V008850,Added,,,
measurements,V008851,Added,,,
measurements,V008852,Added,,,
measurements,V008853,Added,,,
measurements,V008854,Added,,,
measurements,V008855,Added,,,
measurements,V008856,Added,,,
