check,level,severity,materialId,material,gradeId,measurementIds,property,value,expected,sourceId,locator,detail
A1-outside-envelope,measurement,low,M074,PPS-GF,G074-01,V001374,Density,1360 kg/m³,1380-1750,S-PPSGF-TDS-0,p. 1: Density,"PPS/glass-fibre; specimen unknown, direction unk, moisture not-stated; x1.01 beyond"
A1-outside-envelope,measurement,low,M074,PPS-GF,G074-02,V001391,Density,1360 kg/m³,1380-1750,S-FIBER-PPSGF-TDS-2,p. 1: Density,"PPS/glass-fibre; specimen unknown, direction unk, moisture not-stated; x1.01 beyond"
A1-outside-envelope,measurement,low,M083,PP-CF,G083-01,V001503,Tensile break strength,78 MPa,10-75,X-CarbonX-CF-PP-TDSv1,"p. 1: Tensile Strength, Break","PP/carbon-fibre; specimen printed, direction XY, moisture not-stated; x1.04 beyond"
A1-outside-envelope,measurement,low,M086,OBC,G086-01,V001683,Density,905 kg/m³,860-900,X-EVOLV3D-OBC-TDS,p. 1: Density,"OBC/unfilled; specimen unknown, direction unk, moisture not-stated; x1.01 beyond"
A1-outside-envelope,measurement,low,M090,CPE-CF,G090-01,V001676,Density,1160 kg/m³,1170-1400,S-CPECF,p. 1: Density,"CPE/carbon-fibre; specimen unknown, direction unk, moisture not-stated; x1.01 beyond"
A1-outside-envelope,measurement,low,M098,PEKK,G098-02,V001634,HDT,182 °C,15-175 (load not stated),X-Thermax-PEKK-C-TDS-v3-3,p. 1: Deflection Temperature at 0.45,"PEKK/unfilled; specimen printed, direction unk, moisture not-stated"
A10-filled-density-below-base,measurement,medium,M050,PA6-CF,G050-01,V000922,Density,1090 kg/m³,> unfilled PA6 1250 kg/m³ (median of 1 in data),B-pa6-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,medium,M050,PA6-CF,G050-02,V001155,Density,1170 kg/m³,> unfilled PA6 1250 kg/m³ (median of 1 in data),I-PA6-CF-TDS,p. 1: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,medium,M051,PA6-GF,G051-01,V000943,Density,1140 kg/m³,> unfilled PA6 1250 kg/m³ (median of 1 in data),B-pa6-gf-TDS,p. 2: Density,"glass-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,medium,M090,CPE-CF,G090-01,V001676,Density,1160 kg/m³,> unfilled CPE 1250 kg/m³ (median of 1 in data),S-CPECF,p. 1: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M018,PLA-CF,G018-01,V000323,Density,1220 kg/m³,> unfilled PLA 1240 kg/m³ (median of 3 in data),B-pla-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
