check,level,severity,materialId,material,gradeId,measurementIds,property,value,expected,sourceId,locator,detail
B2-headline-condition,headline,medium,M003,PLA Matte,G003-01,V000069,hdt045,58 °C,"printed, dry, as-printed",B-pla-matte-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing
B2-headline-condition,headline,medium,M005,PLA Basic Gradient,G005-01,V000089,hdt045,57 °C,"printed, dry, as-printed",B-pla-basic-gradient-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h ours before testing
B2-headline-condition,headline,medium,M009,PLA Silk+,G009-01,V000149,hdt045,60 °C,"printed, dry, as-printed",B-pla-silk-upgrade-TDS,p. 2: Heat Deflection Temperature,"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,medium,M010,PLA Silk Dual Color,G010-01,V000170,hdt045,53 °C,"printed, dry, as-printed",B-pla-silk-dual-color-TDS,p. 2: Heat Deflection Temperature,"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,medium,M011,PLA Metal,G011-01,V000189,hdt045,62 °C,"printed, dry, as-printed",B-pla-metal-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing
B2-headline-condition,headline,medium,M012,PLA Marble,G012-01,V000209,hdt045,56 °C,"printed, dry, as-printed",B-pla-marble-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing
B2-headline-condition,headline,medium,M014,PLA Wood,G014-01,V000249,hdt045,60 °C,"printed, dry, as-printed",B-pla-wood-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing
B2-headline-condition,headline,medium,M015,PLA Galaxy,G015-01,V000269,hdt045,55 °C,"printed, dry, as-printed",B-pla-galaxy-TDS,p. 2: Heat Deflection Temperature,"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,medium,M016,PLA Glow,G016-01,V000288,hdt045,55 °C,"printed, dry, as-printed",B-pla-glow-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing
B2-headline-condition,headline,medium,M017,PLA Aero,G017-01,V000308,hdt045,53 °C,"printed, dry, as-printed",B-pla-aero-TDS,p. 2: Heat Deflection Temperature,"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,medium,M018,PLA-CF,G018-01,V000329,hdt045,55 °C,"printed, dry, as-printed",B-pla-cf-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing
B2-headline-condition,headline,medium,M022,PETG HF,G022-01,V000449,hdt045,69 °C,"printed, dry, as-printed",B-petg-hf-TDS,p. 2: Heat Deflection Temperature,"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 75 °C for 8 h before testing"
B2-headline-condition,headline,medium,M023,PETG Translucent,G023-01,V000469,hdt045,74 °C,"printed, dry, as-printed",B-petg-translucent-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 65 °C for 8 h before testing
B2-headline-condition,headline,medium,M024,PETG-CF,G024-01,V000490,hdt045,74 °C,"printed, dry, as-printed",B-petg-cf-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 65 °C for 8 h before testing
B2-headline-condition,headline,medium,M027,ABS,G027-01,V000552,hdt045,87 °C,"printed, dry, as-printed",B-abs-filament-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 80 °C for 12 h before testing
B2-headline-condition,headline,medium,M028,ABS-GF,G028-01,V000573,hdt045,99 °C,"printed, dry, as-printed",B-abs-gf-TDS,p. 2: Heat Deflection Temperature,"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 80 °C for 12 h before testing"
B2-headline-condition,headline,medium,M031,ASA,G031-01,V000618,hdt045,100 °C,"printed, dry, as-printed",B-asa-filament-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 80 °C for 12 h before testing
B2-headline-condition,headline,medium,M032,ASA Aero,G032-01,V000639,hdt045,85 °C,"printed, dry, as-printed",B-asa-aero-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 80 °C for 12 h before testing
B2-headline-condition,headline,medium,M033,ASA-CF,G033-01,V000657,hdt045,110 °C,"printed, dry, as-printed",B-asa-cf-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 80 °C for 12 h before testing
B2-headline-condition,headline,medium,M035,PC,G035-01,V000683,hdt045,112 °C,"printed, dry, as-printed",B-PC-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 80 °C for 12 hours before testing
B2-headline-condition,headline,medium,M048,PAHT-CF,G048-01,V000902,hdt045,194 °C,"printed, dry, as-printed",B-paht-cf-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 80 °C for 12 h before testing
B2-headline-condition,headline,medium,M050,PA6-CF,G050-01,V000928,hdt045,186 °C,"printed, dry, as-printed",B-pa6-cf-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 80 °C for 12 h before testing
B2-headline-condition,headline,low,M004,PLA Lite,G004-01,V001903,tensileStrengthXY,53.05 MPa,"printed, dry, as-printed",R-ESUN-PLA-LITE-PAGE,Mechanical Properties: Tensile Strength (XY),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M004,PLA Lite,G004-01,V001905,elongationXY,3.89 %,"printed, dry, as-printed",R-ESUN-PLA-LITE-PAGE,Mechanical Properties: Elongation at Break (XY),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M004,PLA Lite,G004-01,V001902,hdt045,53 °C,"printed, dry, as-printed",R-ESUN-PLA-LITE-PAGE,Physical Performance: Heat Distortion Temperature,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M006,PLA Tough+,G006-01,V000111,tensileModulusXY,1.86 GPa,"printed, dry, as-printed",B-pla-tough-upgrade-TDS,p. 2: Young's Modulus (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M006,PLA Tough+,G006-01,V000113,tensileStrengthXY,34.9 MPa,"printed, dry, as-printed",B-pla-tough-upgrade-TDS,p. 2: Tensile Strength (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M006,PLA Tough+,G006-01,V000115,elongationXY,9.4 %,"printed, dry, as-printed",B-pla-tough-upgrade-TDS,p. 2: Breaking Elongation Rate (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M006,PLA Tough+,G006-01,V000109,hdt045,61 °C,"printed, dry, as-printed",B-pla-tough-upgrade-TDS,p. 2: Heat Deflection Temperature,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M007,PLA Translucent,G007-01,V000131,tensileModulusXY,2.88 GPa,"printed, dry, as-printed",B-pla-translucent-TDS,p. 2: Young's Modulus (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M007,PLA Translucent,G007-01,V000133,tensileStrengthXY,55.4 MPa,"printed, dry, as-printed",B-pla-translucent-TDS,p. 2: Tensile Strength (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M007,PLA Translucent,G007-01,V000135,elongationXY,11 %,"printed, dry, as-printed",B-pla-translucent-TDS,p. 2: Breaking Elongation Rate (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M007,PLA Translucent,G007-01,V000129,hdt045,60 °C,"printed, dry, as-printed",B-pla-translucent-TDS,p. 2: Heat Deflection Temperature,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M009,PLA Silk+,G009-01,V000151,tensileModulusXY,2.13 GPa,"printed, dry, as-printed",B-pla-silk-upgrade-TDS,p. 2: Young's Modulus (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,low,M009,PLA Silk+,G009-01,V000153,tensileStrengthXY,33 MPa,"printed, dry, as-printed",B-pla-silk-upgrade-TDS,p. 2: Tensile Strength (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,low,M009,PLA Silk+,G009-01,V000155,elongationXY,2.8 %,"printed, dry, as-printed",B-pla-silk-upgrade-TDS,p. 2: Breaking Elongation Rate (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,low,M010,PLA Silk Dual Color,G010-01,V000172,tensileModulusXY,1.83 GPa,"printed, dry, as-printed",B-pla-silk-dual-color-TDS,p. 2: Young's Modulus (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,low,M010,PLA Silk Dual Color,G010-01,V000174,tensileStrengthXY,27 MPa,"printed, dry, as-printed",B-pla-silk-dual-color-TDS,p. 2: Tensile Strength (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,low,M010,PLA Silk Dual Color,G010-01,V000176,elongationXY,3.5 %,"printed, dry, as-printed",B-pla-silk-dual-color-TDS,p. 2: Breaking Elongation Rate (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,low,M013,PLA Sparkle,G013-01,V000232,tensileModulusXY,1.94 GPa,"printed, dry, as-printed",B-pla-sparkle-TDS,p. 2: Young's Modulus (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M013,PLA Sparkle,G013-01,V000234,tensileStrengthXY,39 MPa,"printed, dry, as-printed",B-pla-sparkle-TDS,p. 2: Tensile Strength (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M013,PLA Sparkle,G013-01,V000236,elongationXY,11.7 %,"printed, dry, as-printed",B-pla-sparkle-TDS,p. 2: Breaking Elongation Rate (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M013,PLA Sparkle,G013-01,V000230,hdt045,55 °C,"printed, dry, as-printed",B-pla-sparkle-TDS,p. 2: Heat Deflection Temperature,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M015,PLA Galaxy,G015-01,V000271,tensileModulusXY,1.54 GPa,"printed, dry, as-printed",B-pla-galaxy-TDS,p. 2: Young's Modulus (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,low,M015,PLA Galaxy,G015-01,V000273,tensileStrengthXY,26 MPa,"printed, dry, as-printed",B-pla-galaxy-TDS,p. 2: Tensile Strength (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,low,M015,PLA Galaxy,G015-01,V000275,elongationXY,9.3 %,"printed, dry, as-printed",B-pla-galaxy-TDS,p. 2: Breaking Elongation Rate (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,low,M017,PLA Aero,G017-01,V000310,tensileModulusXY,1.35 GPa,"printed, dry, as-printed",B-pla-aero-TDS,p. 2: Young's Modulus (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,low,M017,PLA Aero,G017-01,V000312,tensileStrengthXY,24 MPa,"printed, dry, as-printed",B-pla-aero-TDS,p. 2: Tensile Strength (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,low,M017,PLA Aero,G017-01,V000314,elongationXY,2.6 %,"printed, dry, as-printed",B-pla-aero-TDS,p. 2: Breaking Elongation Rate (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing"
B2-headline-condition,headline,low,M019,PLA-GF,G019-01,V000354,tensileModulusXY,3.79385 GPa,"printed, dry, as-printed",S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Young's modulus (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M019,PLA-GF,G019-01,V000356,tensileStrengthXY,50.09 MPa,"printed, dry, as-printed",S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Tensile strength (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M019,PLA-GF,G019-01,V000358,elongationXY,2.77 %,"printed, dry, as-printed",S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Elongation at break (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M019,PLA-GF,G019-01,V000350,hdt045,75.5 °C,"printed, dry, as-printed",S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 3: Heat deflection temperature,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M022,PETG HF,G022-01,V000451,tensileModulusXY,1.81 GPa,"printed, dry, as-printed",B-petg-hf-TDS,p. 2: Young's Modulus (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 75 °C for 8 h before testing"
B2-headline-condition,headline,low,M022,PETG HF,G022-01,V000453,tensileStrengthXY,34 MPa,"printed, dry, as-printed",B-petg-hf-TDS,p. 2: Tensile Strength (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 75 °C for 8 h before testing"
B2-headline-condition,headline,low,M022,PETG HF,G022-01,V000455,elongationXY,8.6 %,"printed, dry, as-printed",B-petg-hf-TDS,p. 2: Breaking Elongation Rate (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 75 °C for 8 h before testing"
B2-headline-condition,headline,low,M028,ABS-GF,G028-01,V000575,tensileModulusXY,3.16 GPa,"printed, dry, as-printed",B-abs-gf-TDS,p. 2: Young's Modulus (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 80 °C for 12 h before testing"
B2-headline-condition,headline,low,M028,ABS-GF,G028-01,V000577,tensileStrengthXY,36 MPa,"printed, dry, as-printed",B-abs-gf-TDS,p. 2: Tensile Strength (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 80 °C for 12 h before testing"
B2-headline-condition,headline,low,M028,ABS-GF,G028-01,V000579,elongationXY,1.2 %,"printed, dry, as-printed",B-abs-gf-TDS,p. 2: Breaking Elongation Rate (X-Y),"headline specimen: specimen not stated, annealed; All the specimens were annealed and dried at 80 °C for 12 h before testing"
B2-headline-condition,headline,low,M034,ASA-GF,G034-03,V001982,hdt045,98 °C,"printed, dry, as-printed",R-IPCON-ASA-GF-TDS,Filament's properties: Heat deflection temperature,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M036,PC FR,G036-01,V000706,tensileModulusXY,1.67 GPa,"printed, dry, as-printed",B-pc-fr-TDS,p. 2: Young's Modulus (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M036,PC FR,G036-01,V000708,tensileStrengthXY,60 MPa,"printed, dry, as-printed",B-pc-fr-TDS,p. 2: Tensile Strength (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M036,PC FR,G036-01,V000710,elongationXY,2.4 %,"printed, dry, as-printed",B-pc-fr-TDS,p. 2: Breaking Elongation Rate (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M036,PC FR,G036-01,V000704,hdt045,113 °C,"printed, dry, as-printed",B-pc-fr-TDS,p. 2: Heat Deflection Temperature,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M040,TPU for AMS,G040-01,V000775,tensileModulusXY,1.19 GPa,"printed, dry, as-printed",B-tpu-for-ams-TDS,p. 2: Young's Modulus (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M040,TPU for AMS,G040-01,V000777,tensileStrengthXY,22.4 MPa,"printed, dry, as-printed",B-tpu-for-ams-TDS,p. 2: Tensile Strength (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M040,TPU for AMS,G040-01,V000779,elongationXY,650 %,"printed, dry, as-printed",B-tpu-for-ams-TDS,p. 2: Breaking Elongation Rate (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M042,TPU 90A,G042-01,V000810,tensileModulusXY,0.0053 GPa,"printed, dry, as-printed",B-TPU-SOFT-TDS-4,p. 2: Young's Modulus (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M042,TPU 90A,G042-01,V000812,tensileStrengthXY,12.5 MPa,"printed, dry, as-printed",B-TPU-SOFT-TDS-4,p. 2: Tensile Strength (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M042,TPU 90A,G042-01,V000814,elongationXY,650 %,"printed, dry, as-printed",B-TPU-SOFT-TDS-4,p. 2: Breaking Elongation Rate (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M043,TPU 85A,G043-01,V000826,tensileModulusXY,0.0068 GPa,"printed, dry, as-printed",B-TPU-SOFT-TDS-5,p. 2: Young's Modulus (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M043,TPU 85A,G043-01,V000828,tensileStrengthXY,12 MPa,"printed, dry, as-printed",B-TPU-SOFT-TDS-5,p. 2: Tensile Strength (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M043,TPU 85A,G043-01,V000830,elongationXY,700 %,"printed, dry, as-printed",B-TPU-SOFT-TDS-5,p. 2: Breaking Elongation Rate (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M045,PEBA,G045-01,V000845,elongationXY,520 %,"printed, dry, as-printed",S-PEBA-PEBA90A-TDS-en,p. 1: Elongation atBreak (XY-axis),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M051,PA6-GF,G051-01,V000953,tensileStrengthXY,75 MPa,"printed, dry, as-printed",B-pa6-gf-TDS,p. 2: Tensile Strength (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M064,PA-ESD,G064-01,V001207,hdt045,142 °C,"printed, dry, as-printed",X-3DXSTAT-ESD-PA12-TDS-v1,p. 1: Deflection Temperature at 0.45,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M067,PET-CF,G067-01,V001272,tensileModulusXY,4.73 GPa,"printed, dry, as-printed",B-pet-cf-TDS,p. 2: Young's Modulus (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M067,PET-CF,G067-01,V001274,tensileStrengthXY,74 MPa,"printed, dry, as-printed",B-pet-cf-TDS,p. 2: Tensile Strength (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M067,PET-CF,G067-01,V001276,elongationXY,4.5 %,"printed, dry, as-printed",B-pet-cf-TDS,p. 2: Breaking Elongation Rate (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M067,PET-CF,G067-01,V001270,hdt045,205 °C,"printed, dry, as-printed",B-pet-cf-TDS,p. 2: Heat Deflection Temperature,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M069,PPA,G069-01,V001292,tensileModulusXY,2.863 GPa,"printed, dry, as-printed",S-PPA-TDS,p. 1: Young's Modulus XY,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M069,PPA,G069-01,V001290,tensileStrengthXY,76 MPa,"printed, dry, as-printed",S-PPA-TDS,p. 1: Tensile Strength XY,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M069,PPA,G069-01,V001294,elongationXY,3.4 %,"printed, dry, as-printed",S-PPA-TDS,p. 1: Breaking Elongation Rate XY,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M069,PPA,G069-01,V001289,hdt045,131 °C,"printed, dry, as-printed",S-PPA-TDS,p. 1: Heat Deflection Temperature,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M071,PPA-GF,G071-01,V001329,tensileModulusXY,6.558 GPa,"printed, dry, as-printed",D-IPCON-PPA,p. 1: Young's Modulus XY,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M071,PPA-GF,G071-01,V001327,tensileStrengthXY,106 MPa,"printed, dry, as-printed",D-IPCON-PPA,p. 1: Tensile Strength XY,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M071,PPA-GF,G071-01,V001331,elongationXY,2.1 %,"printed, dry, as-printed",D-IPCON-PPA,p. 1: Breaking Elongation Rate XY,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M071,PPA-GF,G071-01,V001326,hdt045,227 °C,"printed, dry, as-printed",D-IPCON-PPA,p. 1: Heat Deflection Temperature,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M073,PPS-CF,G073-01,V001359,hdt045,264 °C,"printed, dry, as-printed",B-pps-cf-TDS,p. 2: Heat Deflection Temperature,headline specimen: specimen not stated; All the specimens were not annealed before testing
B2-headline-condition,headline,low,M074,PPS-GF,G074-01,V001381,tensileModulusXY,5.764 GPa,"printed, dry, as-printed",S-PPSGF-TDS-0,p. 1: Young's Modulus XY,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M074,PPS-GF,G074-01,V001379,tensileStrengthXY,72 MPa,"printed, dry, as-printed",S-PPSGF-TDS-0,p. 1: Tensile Strength XY,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M074,PPS-GF,G074-01,V001383,elongationXY,1.6 %,"printed, dry, as-printed",S-PPSGF-TDS-0,p. 1: Breaking Elongation Rate XY,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M074,PPS-GF,G074-01,V001378,hdt045,241 °C,"printed, dry, as-printed",S-PPSGF-TDS-0,p. 1: Heat Deflection Temperature,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M089,CPE,G089-01,V001954,hdt045,80 °C,"printed, dry, as-printed",R-FILLAMENTUM-CPE-HG100-TDS,Thermal properties: Heat distortion temperature,headline specimen: specimen not stated; Not published
B2-headline-condition,headline,low,M093,PVB,G093-01,V001698,hdt045,63 °C,"printed, dry, as-printed",S-PVB-PVB-Prusament-TDS-2021-10-EN,p. 2: HDT,headline specimen: specimen not stated; Not published
B2-headline-condition-better-exists,headline,medium,M038,PC-GF,G038-01,V000740,tensileStrengthXY,40 MPa,printed dry as-printed alternative(s): V001835=36.1,S-PCGF-TDS-1,p. 1: Tensile strength (XY),headline specimen: specimen not stated; Not published
B2-headline-condition-better-exists,headline,medium,M038,PC-GF,G038-01,V000742,elongationXY,9.5 %,printed dry as-printed alternative(s): V001837=2.4,S-PCGF-TDS-1,p. 1: Elongation at break (XY),headline specimen: specimen not stated; Not published
B2-headline-condition-better-exists,headline,medium,M051,PA6-GF,G051-01,V000951,tensileModulusXY,2.85 GPa,printed dry as-printed alternative(s): V001165=4.261,B-pa6-gf-TDS,p. 2: Young's Modulus (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition-better-exists,headline,medium,M051,PA6-GF,G051-01,V000955,elongationXY,3.9 %,printed dry as-printed alternative(s): V001166=6,B-pa6-gf-TDS,p. 2: Breaking Elongation Rate (X-Y),headline specimen: specimen not stated; Not published
B2-headline-condition-better-exists,headline,medium,M051,PA6-GF,G051-01,V000949,hdt045,182 °C,printed dry as-printed alternative(s): V001170=186,B-pa6-gf-TDS,p. 2: Heat Deflection Temperature,headline specimen: specimen not stated; Not published
B2-headline-condition-better-exists,headline,medium,M057,PA6/66,G057-01,V001021,hdt045,110.5 °C,printed dry as-printed alternative(s): V001051=140,S-POLYCN-PolyMide-CoPA-TDS-V5-2,p. 3: Heat deflection temperature,headline specimen: annealed; All specimens were annealed at 80˚C for 30min and dried for 48h prior to testing
B2-headline-condition-better-exists,headline,medium,M073,PPS-CF,G073-01,V001361,tensileModulusXY,8.23 GPa,printed dry as-printed alternative(s): V001865=7.46,B-pps-cf-TDS,p. 2: Young's Modulus (X-Y),headline specimen: specimen not stated; All the specimens were not annealed before testing
B2-headline-condition-better-exists,headline,medium,M073,PPS-CF,G073-01,V001363,tensileStrengthXY,87 MPa,printed dry as-printed alternative(s): V001862=63,B-pps-cf-TDS,p. 2: Tensile Strength (X-Y),headline specimen: specimen not stated; All the specimens were not annealed before testing
B2-headline-condition-better-exists,headline,medium,M073,PPS-CF,G073-01,V001365,elongationXY,1.2 %,printed dry as-printed alternative(s): V001868=2.2,B-pps-cf-TDS,p. 2: Breaking Elongation Rate (X-Y),headline specimen: specimen not stated; All the specimens were not annealed before testing
C1-centre-outside-envelope,estimate,medium,M038,PC-GF,G038-01,,density,"likely 1150-1330, plausible 1110-1370 kg/m³",1240-1500,,,canScreen true; precision fair; strength this-material; 
C1-centre-outside-envelope,estimate,medium,M038,PC-GF,G038-01,,tensileModulusXY,"likely 1.84-3, plausible 1.67-3.31 GPa",2.5-9,,,canScreen true; precision fair; strength this-grade; 
C1-centre-outside-envelope,estimate,medium,M052,PA12,G052-01,,density,"likely 1040-1180, plausible 1010-1210 kg/m³",990-1040,,,canScreen true; precision fair; strength this-material; 
C1-centre-outside-envelope,estimate,medium,M055,PA66,Not published,,density,"likely 1050-1170, plausible 1020-1200 kg/m³",1120-1170,,,canScreen true; precision fair; strength this-material; 
C1-centre-outside-envelope,estimate,medium,M056,PA66-CF,Not published,,density,"likely 1050-1190, plausible 1020-1220 kg/m³",1140-1350,,,canScreen true; precision fair; strength family; 
C1-centre-outside-envelope,estimate,medium,M076,BVOH,G076-01,,hdt045,"likely 54.7-117, plausible 46.6-158 °C",45-80,,,canScreen true; precision poor; strength this-grade; 
C1-centre-outside-envelope,estimate,medium,M083,PP-CF,G083-01,,tensileStrengthXY,"likely 68.1-91.7, plausible 65.4-95.5 MPa",20-75,,,canScreen true; precision good; strength this-grade; 
C1-plausible-tail-beyond-envelope,estimate,low,M046,TPC / TPEE,G046-01,,tensileModulusXY,"likely 0.00938-0.106, plausible 0.00568-0.175 GPa",0.02-1,,,canScreen true; precision poor; strength this-grade; ; tail low (a tail beyond physics blunts screening on that side)
C1-plausible-tail-beyond-envelope,estimate,low,M046,TPC / TPEE,G046-01,,elongationXY,"likely 174-1140, plausible 119-1650 %",80-900,,,canScreen true; precision poor; strength family; ; tail high (a tail beyond physics blunts screening on that side)
C1-plausible-tail-beyond-envelope,estimate,low,M066,PET,G066-01,,hdt045,"likely 71.2-109, plausible 53.5-132 °C",63-90,,,canScreen true; precision fair; strength this-grade; ; tail high (a tail beyond physics blunts screening on that side)
C1-plausible-tail-beyond-envelope,estimate,low,M076,BVOH,G076-01,,hdt045,"likely 54.7-117, plausible 46.6-158 °C",45-80,,,canScreen true; precision poor; strength this-grade; ; tail high (a tail beyond physics blunts screening on that side)
C1-plausible-tail-beyond-envelope,estimate,low,M085,PE,G085-01,,hdt045,"likely 52.2-124, plausible 45.7-134 °C",40-90,,,canScreen true; precision poor; strength family; ; tail high (a tail beyond physics blunts screening on that side)
C1-plausible-tail-beyond-envelope,estimate,low,M086,OBC,G086-01,,tensileModulusXY,"likely 0.0161-1.14, plausible 0.00671-2.75 GPa",0.002-0.15,,,canScreen true; precision poor; strength family; ; tail high (a tail beyond physics blunts screening on that side)
C1-plausible-tail-beyond-envelope,estimate,low,M087,POM / Acetal,G087-02,,hdt045,"likely 77.8-151, plausible 52-163 °C",90-170,,,canScreen true; precision poor; strength this-material; ; tail low (a tail beyond physics blunts screening on that side)
